goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3121998057 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	6202370081 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3358354703 ns/op	1121206072 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	6196145403 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	1959737497 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2806465784 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2284553285 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3089955334 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	3498652947 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	4112989338 ns/op	1121206040 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	2347966650 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=parallel-128   	       1	1937975697 ns/op	1121206056 B/op	     128 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	4044563967 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2474048919 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2183099211 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3219672757 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3417870170 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2859484666 ns/op	1402259344 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	3495930263 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	4833613109 ns/op	1402259344 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	1573404508 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=mixed-128      	       1	2925490057 ns/op	1402259360 B/op	     671 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2795677849 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	4210848927 ns/op	1345631120 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3992130895 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3397634036 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2979401252 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	4198771772 ns/op	1345631120 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	4354427974 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	2018680745 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3798622495 ns/op	1345631120 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=sweep-128      	       1	3866808884 ns/op	1345631104 B/op	     527 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3474384322 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	5403477882 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	4307761082 ns/op	1121221944 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	2233674971 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	4702126876 ns/op	1121221912 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	4046299689 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3423151474 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	4488172314 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3211350090 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=parallel-128   	       1	3395674934 ns/op	1121221928 B/op	     182 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	1953263322 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3337934515 ns/op	1345641584 B/op	     597 allocs/op
