goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	16114753832 ns/op	6077621360 B/op	    5341 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	14506956560 ns/op	6077618624 B/op	    5331 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	19674947401 ns/op	6521214640 B/op	    6138 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	17839943937 ns/op	6521213824 B/op	    6137 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	16987019393 ns/op	6521214736 B/op	    6139 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	16178815994 ns/op	6521213840 B/op	    6137 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	16555719941 ns/op	6521214688 B/op	    6142 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	17249269938 ns/op	6521213648 B/op	    6135 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	21537956218 ns/op	6521214240 B/op	    6141 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	19533130421 ns/op	6521216528 B/op	    6143 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	22277728836 ns/op	6521214736 B/op	    6139 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	13484164844 ns/op	6521214560 B/op	    6137 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=7/reduction=sweep-128         	       1	13292867989 ns/op	6461472008 B/op	    5974 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=7/reduction=sweep-128         	       1	16639759227 ns/op	6461471544 B/op	    5973 allocs/op
