goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12308509479 ns/op	4016489720 B/op	    1933 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12290401560 ns/op	4016489800 B/op	    1934 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12032967083 ns/op	4016489720 B/op	    1933 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	13529011064 ns/op	4016491496 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12738408376 ns/op	4016489896 B/op	    1935 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	9336333086 ns/op	4016489800 B/op	    1934 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12652734247 ns/op	4016489704 B/op	    1933 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	13836580857 ns/op	4074132416 B/op	    1749 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	9573631585 ns/op	4074133664 B/op	    1751 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	12988188701 ns/op	4074132336 B/op	    1748 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	12994237172 ns/op	4074132400 B/op	    1749 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	11401664782 ns/op	4074132400 B/op	    1749 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	12507462166 ns/op	4074132320 B/op	    1748 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	10729907565 ns/op	4074132576 B/op	    1751 allocs/op
