goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	14820349016 ns/op	2993692400 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	17850158854 ns/op	2993692400 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	14480831374 ns/op	2993692400 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	13193019413 ns/op	2993692400 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	20299296812 ns/op	2993692384 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	17870436788 ns/op	2912906864 B/op	    1579 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	18319959712 ns/op	2912905072 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	14888723562 ns/op	2912905056 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	10043439759 ns/op	2912905072 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	8302959308 ns/op	2912905056 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	14398539394 ns/op	2912905056 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	18605371102 ns/op	2912905072 B/op	    1575 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	9425559738 ns/op	2912905072 B/op	    1575 allocs/op
