goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	17014594918 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	16307081411 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	27771039864 ns/op	4187406832 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	18963799105 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	30569164268 ns/op	4187406832 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	15966524729 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	26831860688 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	22470917006 ns/op	4187406816 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	19753265567 ns/op	4187406832 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=sweep-128            	       1	17610675868 ns/op	4187406832 B/op	    1937 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	20455345297 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	14402046138 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	17723875318 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	25004144545 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	18163964125 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	16940924028 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	19813683936 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	10388658382 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	12854813664 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=parallel-128         	       1	21117254818 ns/op	3563433792 B/op	     783 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	8584019135 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	15493523178 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	20538237774 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	17883160399 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	29441699027 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	20102254990 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	14284235196 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	23478474202 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	16561715679 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=4/reduction=mixed-128            	       1	19287886100 ns/op	4187408224 B/op	    1977 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	16837962500 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	14421766089 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	19270950015 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	15062346154 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	11804169684 ns/op	4062623416 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	15923532102 ns/op	4062623416 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	13759547090 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	14682377665 ns/op	4062623416 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	14771345650 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	15522429495 ns/op	4062623400 B/op	    1710 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	22921694625 ns/op	3563444520 B/op	     826 allocs/op
