goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	21922260829 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	20055412657 ns/op	2966375760 B/op	    1456 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18666074225 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18866656734 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12603784339 ns/op	2966375712 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	15387750977 ns/op	2884558448 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	11177947423 ns/op	2884558448 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	17388092357 ns/op	2884558432 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	14918412469 ns/op	2884560224 B/op	    1259 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	16959916676 ns/op	2884558432 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	11239847882 ns/op	2884560240 B/op	    1259 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	12682299536 ns/op	2884558448 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	23145177224 ns/op	2884558432 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	17018169310 ns/op	2884560224 B/op	    1259 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	16441728313 ns/op	2884558448 B/op	    1255 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	19912234906 ns/op	2472424456 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	10301345089 ns/op	2472424456 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	17606687751 ns/op	2472424456 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	14093463174 ns/op	2472425096 B/op	     579 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	18910187147 ns/op	2472424440 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	22811253848 ns/op	2472424520 B/op	     577 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	14881556434 ns/op	2472424456 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	12546500460 ns/op	2472426664 B/op	     581 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	18795753875 ns/op	2472424440 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	15808921361 ns/op	2472424456 B/op	     576 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	19492367979 ns/op	2884560960 B/op	    1327 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	12764318581 ns/op	2884560944 B/op	    1327 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	14595448263 ns/op	2884560960 B/op	    1327 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	16254962406 ns/op	2884560944 B/op	    1327 allocs/op
